Precon,ID,atan.XY,degree.XY
f2,b1c2a3,0.32,18.43
f2,b1c2a3,0.36,20.86
f2,b1c2a3,0.46,26.53
f2,b1c2a3,0.59,33.69
f2,b1c2a3,0.79,45.00
f2,b1c2a3,0.98,56.30
f2,b1c2a3,1.25,71.57
f2,b1c2a3,n/a,n/a
f2,b1c2a3,n/a,n/a
f2,b1c2a3,n/a,n/a
f2,b1c2a3,n/a,n/a
f2,b1c2a3,n/a,n/a
f2,b1c2a3,n/a,n/a
f2,b1c2a3,n/a,n/a
f2,b1c8a1,-1.11,-63.43
f2,b1c8a1,-1.03,-59.04
f2,b1c8a1,-0.90,-51.34
f2,b1c8a1,-0.79,-44.99
f2,b1c8a1,-0.46,-26.57
f2,b1c8a1,-0.43,-24.44
f2,b1c8a1,-0.32,-18.43
f2,b1c8a1,-0.32,-18.43
f2,b1c8a1,-0.14,-8.13
f2,b1c8a1,-0.12,-7.13
f2,b1c8a1,-0.11,-6.34
f2,b1c8a1,-0.09,-5.19
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.00,0.00
f2,b1c8a1,0.06,3.18
f2,b1c8a1,0.12,7.12
f2,b1c8a1,0.17,9.46
f2,b1c8a1,0.20,11.31
f2,b1c8a1,0.24,14.04
f2,b1c8a1,0.34,19.65
f2,b1c8a1,0.38,21.80
f2,b1c8a1,0.38,21.80
f2,b1c8a1,0.46,26.57
f2,b1c8a1,0.46,26.57
f2,b1c8a1,0.79,45.00
f2,b1c8a1,1.11,63.43
f2,b1c8a1,1.37,78.69
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c8a1,n/a,n/a
f2,b1c9a1,-0.79,-45.01
f2,b1c9a1,-0.79,-45.00
f2,b1c9a1,-0.79,-45.00
f2,b1c9a1,-0.79,-44.99
f2,b1c9a1,-0.52,-29.74
f2,b1c9a1,-0.46,-26.57
f2,b1c9a1,-0.46,-26.56
f2,b1c9a1,-0.24,-14.03
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.00,0.00
f2,b1c9a1,0.23,13.24
f2,b1c9a1,0.24,14.04
f2,b1c9a1,0.25,14.04
f2,b1c9a1,0.32,18.43
f2,b1c9a1,0.32,18.43
f2,b1c9a1,0.46,26.56
f2,b1c9a1,0.59,33.69
f2,b1c9a1,0.59,33.69
f2,b1c9a1,0.64,36.87
f2,b1c9a1,0.79,45.00
f2,b1c9a1,0.79,45.00
f2,b1c9a1,0.79,45.00
f2,b1c9a1,0.79,45.00
f2,b1c9a1,0.79,45.01
f2,b1c9a1,0.86,49.40
f2,b1c9a1,0.94,53.97
f2,b1c9a1,0.98,56.31
f2,b1c9a1,1.11,63.43
f2,b1c9a1,1.11,63.43
f2,b1c9a1,1.11,63.43
f2,b1c9a1,1.11,63.44
f2,b1c9a1,1.11,63.44
f2,b1c9a1,1.28,73.30
f2,b1c9a1,1.45,82.88
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
f2,b1c9a1,n/a,n/a
